#---------------------------- KTU 1.84 1
150309	t	t
150310	ugrt	ugrt
#---------------------------- KTU 1.84 2
150311	w	w
150312	npy	npy
150313	yman	yman
150314	xxx	xxx
#---------------------------- KTU 1.84 3
150315	w	w
150316	npy	npy
150317	ʿrmtwnpy	ʿrmtwnpy
150318	annpdgl	annpdgl
#---------------------------- KTU 1.84 4
150319	u	u
150320	šn	šn
150321	ypkn	ypkn
150322	u	u
150323	lp	lp
150324	qṭy	qṭy
150325	u	u
150326	lp	lp
150327	ddmy	ddmy
150328	u	u
150329	lp	lp
150330	ḫry	ḫry
#---------------------------- KTU 1.84 5
150331	u	u
150332	lp	lp
150333	ḫty	ḫty
150334	u	u
150335	lp	lp
150336	alṯy	alṯy
150337	u	u
150338	lp	lp
150339	ġbr	ġbr
150340	ul	ul
150341	p	p
150342	ḫbtkn	ḫbtkn
#---------------------------- KTU 1.84 6
150343	u	u
150344	lp	lp
150345	mdllkn	mdllkn
150346	u	u
150347	lp	lp
150348	qrzbl	qrzbl
150349	u	u
150350	šn	šn
150351	ypkn	ypkn
#---------------------------- KTU 1.84 7
150352	b	b
150353	apkn	apkn
150354	u	u
150355	bqṣrt	bqṣrt
150356	npškn	npškn
150357	u	u
150358	bqṭt	bqṭt
150359	tqṭṭ	tqṭṭ
#---------------------------- KTU 1.84 8
150360	u	u
150361	šn	šn
150362	ypknġl	ypknġl
150363	il	il
150364	tʿḏr	tʿḏr
150365	bʿl	bʿl
#---------------------------- KTU 1.84 9
150366	xl	xl
150367	šnt	šnt
#---------------------------- KTU 1.84 10
150368	x	x
150369	yp	yp
150370	tḥt	tḥt
#---------------------------- KTU 1.84 11
150371		
#---------------------------- KTU 1.84 12
150372		
150373	w	w
150374	npy	npy
150375	gr	gr
#---------------------------- KTU 1.84 13
150376	ḥmyt	ḥmyt
150377	ugrt	ugrt
150378	w	w
150379	npy	npy
150380	yman	yman
150381	w	w
150382	npy	npy
150383	ʿrmt	ʿrmt
150384	w	w
150385	npy	npy
#---------------------------- KTU 1.84 14
150386		
150387	u	u
150388	šn	šn
150389	ypkm	ypkm
150390	u	u
150391	lp	lp
150392	qty	qty
#---------------------------- KTU 1.84 15
150393	u	u
150394	lp	lp
150395	ddmy	ddmy
150396	u	u
150397	lp	lp
150398	ḫry	ḫry
150399	u	u
150400	lp	lp
150401	ḫty	ḫty
150402	u	u
150403	lp	lp
150404	alty	alty
#---------------------------- KTU 1.84 16
150405	u	u
150406	lp	lp
150407	ġbr	ġbr
150408	u	u
150409	lp	lp
150410	ḫbtkm	ḫbtkm
150411	u	u
150412	lp	lp
150413	mdllkm	mdllkm
150414	ul	ul
150415	p	p
#---------------------------- KTU 1.84 17
150416	xr	xr
#---------------------------- KTU 1.84 18
150417	w	w
150418	npy	npy
#---------------------------- KTU 1.84 19
150419	u	u
150420	šn	šn
150421	ypkm	ypkm
150422	u	u
150423	lp	lp
150424	qty	qty
#---------------------------- KTU 1.84 20
150425	u	u
150426	lp	lp
150427	ddmy	ddmy
150428	u	u
150429	lp	lp
150430	ḫry	ḫry
150431	u	u
150432	lp	lp
150433	ḫty	ḫty
150434	u	u
150435	lp	lp
150436	alṯy	alṯy
#---------------------------- KTU 1.84 21
150437	u	u
150438	lp	lp
150439	ġbr	ġbr
150440	u	u
150441	lp	lp
150442	ḫbtkm	ḫbtkm
150443	u	u
150444	lp	lp
150445	mdllkm	mdllkm
150446	u	u
150447	lp	lp
150448	qrzbl	qrzbl
#---------------------------- KTU 1.84 22
150449	u	u
150450	šn	šn
150451	ypkm	ypkm
150452	b	b
150453	apkm	apkm
150454	u	u
150455	bqṣrt	bqṣrt
150456	npškm	npškm
150457	u	u
150458	bqṭt	bqṭt
#---------------------------- KTU 1.84 23
150459	x	x
#---------------------------- KTU 1.84 24
150460	ṣym	ṣym
#---------------------------- KTU 1.84 25
150461	kl	kl
150462	kbkb	kbkb
#---------------------------- KTU 1.84 26
150463		
#---------------------------- KTU 1.84 27
150464		
#---------------------------- KTU 1.84 28
150465		
#---------------------------- KTU 1.84 29
150466		
#---------------------------- KTU 1.84 30
150467	pšmtkm	pšmtkm
#---------------------------- KTU 1.84 31
150468	p	p
150469	yt	yt
150470	xxx	xxx
#---------------------------- KTU 1.84 32
150471	dkm	dkm
#---------------------------- KTU 1.84 33
150472		
#---------------------------- KTU 1.84 34
150473	ugrt	ugrt
#---------------------------- KTU 1.84 35
150474	x	x
150475	l	l
150476	lim	lim
#---------------------------- KTU 1.84 36
150477	xmdx	xmdx
#---------------------------- KTU 1.84 37
150478		
#---------------------------- KTU 1.84 38
150479	mšr	mšr
150480	mšr	mšr
#---------------------------- KTU 1.84 39
150481	y	y
#---------------------------- KTU 1.84 40
150482	npy	npy
150483	nqmd	nqmd
#---------------------------- KTU 1.84 41
150484	x	x
150485	pḫr	pḫr
#---------------------------- KTU 1.84 42
150486		
#---------------------------- KTU 1.84 43
150487		
#---------------------------- KTU 1.84 44
150488		
#---------------------------- KTU 1.84 45
150489		
#---------------------------- KTU 1.84 46
150490		
#---------------------------- KTU 1.84 47
150491	il	il
150492	tʿḏr	tʿḏr
150493	bʿl	bʿl
#---------------------------- KTU 1.84 48
150494		
#---------------------------- KTU 1.84 49
150495		
