#---------------------------- KTU 1.85 1
150496	spr	spr
150497	nʿm	nʿm
150498	śśwm	śśwm
#---------------------------- KTU 1.85 2
150499	k	k
150500	ygʿr	ygʿr
150501	śśw	śśw
150502	št	št
150503	ʿqrbn	ʿqrbn
#---------------------------- KTU 1.85 3
150504	ydk	ydk
150505	w	w
150506	ymsś	ymsś
150507	hm	hm
150508	b	b
150509	mskt	mskt
150510	dlḥt	dlḥt
#---------------------------- KTU 1.85 4
150511	hm	hm
150512	b	b
150513	mndġ	mndġ
150514	w	w
150515	yṣq	yṣq
150516	b	b
150517	aph	aph
#---------------------------- KTU 1.85 5
150518	k	k
150519	ḫr	ḫr
150520	śśw	śśw
150521	mġmġ	mġmġ
150522	w	w
150523	bṣql	bṣql
150524	ʿrgz	ʿrgz
#---------------------------- KTU 1.85 6
150525	ydk	ydk
150526	aḥdh	aḥdh
150527	w	w
150528	yṣq	yṣq
150529	b	b
150530	aph	aph
#---------------------------- KTU 1.85 7
150531	w	w
150532	k	k
150533	ḫr	ḫr
150534	śśw	śśw
150535	ḫndrṯ	ḫndrṯ
150536	w	w
150537	ṯqd	ṯqd
150538	mr	mr
#---------------------------- KTU 1.85 8
150539	ydk	ydk
150540	aḥdh	aḥdh
150541	w	w
150542	yṣq	yṣq
150543	b	b
150544	aph	aph
#---------------------------- KTU 1.85 9
150545	w	w
150546	k	k
150547	l	l
150548	yḫru	yḫru
150549	w	w
150550	l	l
150551	yṯtn	yṯtn
150552	śśw	śśw
#---------------------------- KTU 1.85 10
150553	mss	mss
150554	št	št
150555	qlql	qlql
150556	w	w
150557	št	št
150558	ʿrgz	ʿrgz
#---------------------------- KTU 1.85 11
150559	ydk	ydk
150560	aḥdh	aḥdh
150561	w	w
150562	yṣq	yṣq
150563	b	b
150564	aph	aph
#---------------------------- KTU 1.85 12
150565	w	w
150566	k	k
150567	aḫd	aḫd
150568	akl	akl
150569	śśw	śśw
150570	št	št
150571	mkšr	mkšr
#---------------------------- KTU 1.85 13
150572	grn	grn
150573	w	w
150574	št	št
150575	aškrr	aškrr
#---------------------------- KTU 1.85 14
150576	w	w
150577	pr	pr
150578	ḥḏrt	ḥḏrt
150579	ydk	ydk
150580	w	w
150581	yṣq	yṣq
150582	b	b
150583	aph	aph
#---------------------------- KTU 1.85 15
150584	w	w
150585	k	k
150586	aḫd	aḫd
150587	akl	akl
150588	śśw	śśw
150589	št	št
150590	nni	nni
#---------------------------- KTU 1.85 16
150591	w	w
150592	št	št
150593	mkšr	mkšr
150594	grn	grn
150595	w	w
150596	št	št
#---------------------------- KTU 1.85 17
150597	irġn	irġn
150598	ḥmr	ḥmr
150599	ydk	ydk
150600	w	w
150601	yṣq	yṣq
150602	b	b
150603	aph	aph
#---------------------------- KTU 1.85 18
150604	w	w
150605	k	k
150606	yraš	yraš
150607	śśw	śśw
150608	št	št
150609	bln	bln
150610	qṭ	qṭ
#---------------------------- KTU 1.85 19
150611	ydk	ydk
150612	w	w
150613	yṣq	yṣq
150614	b	b
150615	aph	aph
#---------------------------- KTU 1.85 20
150616	w	w
150617	k	k
150618	xxxxxʿbd	xxxxxʿbd
150619	śśw	śśw
150620	gd	gd
150621	ḫlb	ḫlb
#---------------------------- KTU 1.85 21
150622	w	w
150623	šxxxxx	šxxxxx
150624	ʿl	ʿl
150625	xxxxx	xxxxx
#---------------------------- KTU 1.85 22
150626	ydk	ydk
150627	aḥdh	aḥdh
150628	w	w
150629	yṣq	yṣq
150630	b	b
150631	aph	aph
#---------------------------- KTU 1.85 23
150632	w	w
150633	k	k
150634	ygʿr	ygʿr
150635	śśw	śśw
150636	xxxxx	xxxxx
#---------------------------- KTU 1.85 24
150637	pr	pr
150638	ʿṯrb	ʿṯrb
150639	drʿ	drʿ
150640	w	w
150641	ṯqd	ṯqd
150642	mr	mr
150643	w	w
#---------------------------- KTU 1.85 25
150644	tmṯl	tmṯl
150645	gd	gd
150646	w	w
150647	tmṯl	tmṯl
150648	ṯmrg	ṯmrg
150649	xxxx	xxxx
#---------------------------- KTU 1.85 26
150650	w	w
150651	št	št
150652	nni	nni
150653	w	w
150654	pr	pr
150655	ʿbk	ʿbk
150656	w	w
150657	xxxx	xxxx
#---------------------------- KTU 1.85 27
150658	mġmġ	mġmġ
150659	w	w
150660	pr	pr
150661	ḥḏrt	ḥḏrt
150662	w	w
150663	xxxx	xxxx
#---------------------------- KTU 1.85 28
150664	irġn	irġn
150665	ḥmr	ḥmr
150666	ydk	ydk
150667	aḥdh	aḥdh
#---------------------------- KTU 1.85 29
150668	w	w
150669	yṣq	yṣq
150670	b	b
150671	aph	aph
#---------------------------- KTU 1.85 30
150672	k	k
150673	yraš	yraš
150674	w	w
150675	ykhp	ykhp
150676	mid	mid
#---------------------------- KTU 1.85 31
150677	dblt	dblt
150678	yṯnt	yṯnt
150679	ṣmqm	ṣmqm
150680	yṯnm	yṯnm
#---------------------------- KTU 1.85 32
150681	w	w
150682	qmḥ	qmḥ
150683	bql	bql
150684	yṣq	yṣq
150685	aḥdh	aḥdh
150686	b	b
150687	aph	aph
