#---------------------------- KTU 1.96 1
151565	ʿnn	ʿnn
151566	hlkt	hlkt
151567	w	w
151568	šnwt	šnwt
#---------------------------- KTU 1.96 2
151569	tp	tp
151570	aḫh	aḫh
151571	k	k
151572	nʿm	nʿm
151573	aḫh	aḫh
151574	xxx	xxx
#---------------------------- KTU 1.96 3
151575	k	k
151576	ysmsm	ysmsm
151577	tspi	tspi
151578	širh	širh
#---------------------------- KTU 1.96 4
151579	l	l
151580	bl	bl
151581	ḥrb	ḥrb
151582	tšt	tšt
151583	dmhx	dmhx
#---------------------------- KTU 1.96 5
151584	l	l
151585	bl	bl
151586	ks	ks
151587	tpnn	tpnn
151588	ʿn	ʿn
#---------------------------- KTU 1.96 6
151589	bty	bty
151590	ʿn	ʿn
151591	bṯt	bṯt
151592	tpnn	tpnn
#---------------------------- KTU 1.96 7
151593	ʿn	ʿn
151594	mḫr	mḫr
151595	ʿn	ʿn
151596	pḫr	pḫr
#---------------------------- KTU 1.96 8
151597	ʿn	ʿn
151598	ṯġr	ṯġr
151599	ʿn	ʿn
151600	ṯġr	ṯġr
#---------------------------- KTU 1.96 9
151601	l	l
151602	ṯġr	ṯġr
151603	tṯb	tṯb
151604	ʿn	ʿn
151605	pḫr	pḫr
#---------------------------- KTU 1.96 10
151606	l	l
151607	pḫr	pḫr
151608	tṯb	tṯb
151609	ʿn	ʿn
151610	mḫr	mḫr
#---------------------------- KTU 1.96 11
151611	l	l
151612	mḫr	mḫr
151613	tṯb	tṯb
151614	ʿn	ʿn
151615	bty	bty
#---------------------------- KTU 1.96 12
151616	l	l
151617	bṯy	bṯy
151618	tṯb	tṯb
151619	ʿn	ʿn
151620	bṯt	bṯt
#---------------------------- KTU 1.96 13
151621	l	l
151622	bṯt	bṯt
151623	tṯb	tṯb
#---------------------------- KTU 1.96 14
151624	xx	xx
