#---------------------------- KTU 2.75 1
159191	l	l
159192	mlk	mlk
159193	xxxx	xxxx
#---------------------------- KTU 2.75 2
159194	rgm	rgm
#---------------------------- KTU 2.75 3
159195	tḥm	tḥm
#---------------------------- KTU 2.75 4
159196	ʿbdk	ʿbdk
159197	yšlm	yšlm
#---------------------------- KTU 2.75 5
159198	l	l
159199	mlk	mlk
159200	bʿly	bʿly
#---------------------------- KTU 2.75 6
159201	ilm	ilm
159202	tġrk	tġrk
159203	tšlmk	tšlmk
#---------------------------- KTU 2.75 7
159204	w	w
159205	ln	ln
159206	ykn	ykn
159207	pat	pat
#---------------------------- KTU 2.75 8
159208	ʿm	ʿm
159209	mlt	mlt
159210	grgmš	grgmš
#---------------------------- KTU 2.75 9
159211	w	w
159212	anna	anna
159213	ilak	ilak
#---------------------------- KTU 2.75 10
159214	b	b
159215	mlakt	mlakt
#---------------------------- KTU 2.75 11
159216	ʿmk	ʿmk
#---------------------------- KTU 2.75 12
159217	w	w
159218	bʿl	bʿl
159219	l	l
159220	ydʿ	ydʿ
