#---------------------------- KTU 3.1 1
160747		
#---------------------------- KTU 3.1 2
160748	ʿm	ʿm
#---------------------------- KTU 3.1 3
160749	mġy	mġy
#---------------------------- KTU 3.1 4
160750	špš	špš
#---------------------------- KTU 3.1 5
160751	ql	ql
160752		
#---------------------------- KTU 3.1 6
160753	w	w
160754	mlkšḫ	mlkšḫ
#---------------------------- KTU 3.1 7
160755	ʿmn	ʿmn
160756		
#---------------------------- KTU 3.1 8
160757	iky	iky
160758		
#---------------------------- KTU 3.1 9
160759	w	w
160760	lnqmd	lnqmd
#---------------------------- KTU 3.1 10
160761	w	w
160762	nqmd	nqmd
160763	mlk	mlk
160764	ugrt	ugrt
#---------------------------- KTU 3.1 11
160765	wʿmn	wʿmn
160766	špš	špš
160767	mlk	mlk
160768	rb	rb
#---------------------------- KTU 3.1 12
160769	bʿlh	bʿlh
160770	šlm	šlm
160771	wšpš	wšpš
#---------------------------- KTU 3.1 13
160772	mlk	mlk
160773	rb	rb
160774	bʿlh	bʿlh
160775		
#---------------------------- KTU 3.1 14
160776	nqmd	nqmd
160777	mlk	mlk
160778	ugrt	ugrt
#---------------------------- KTU 3.1 15
160779	phy	phy
#---------------------------- KTU 3.1 16
160780	w	w
160781	ṯpllm	ṯpllm
160782	mlk	mlk
160783	rb	rb
160784	mlk	mlk
160785	ḫt	ḫt
#---------------------------- KTU 3.1 17
160786	mṣmt	mṣmt
160787	l	l
160788	nqmd	nqmd
160789	mlk	mlk
160790	ugrt	ugrt
160791	št	št
#---------------------------- KTU 3.1 18
160792	hlny	hlny
160793	argmn	argmn
160794	dybl	dybl
160795	nqmd	nqmd
#---------------------------- KTU 3.1 19
160796	l	l
160797	špš	špš
160798	arn	arn
160799	ṯn	ṯn
160800	ʿšr	ʿšr
160801	mn	mn
#---------------------------- KTU 3.1 20
160802	ʿšrm	ʿšrm
160803	ṯql	ṯql
160804	kbd	kbd
160805	ks	ks
160806	mn	mn
160807	ḫrṣ	ḫrṣ
#---------------------------- KTU 3.1 21
160808	w	w
160809	arbʿ	arbʿ
160810	ktnt	ktnt
160811	ktn	ktn
160812	rb	rb
#---------------------------- KTU 3.1 22
160813	ḫmš	ḫmš
160814	mat	mat
160815	pḥm	pḥm
#---------------------------- KTU 3.1 23
160816	ḫmš	ḫmš
160817	mat	mat
160818	iqnu	iqnu
#---------------------------- KTU 3.1 24
160819	argmn	argmn
160820	nqmd	nqmd
160821	mlk	mlk
#---------------------------- KTU 3.1 25
160822	ugrt	ugrt
160823	d	d
160824	ybl	ybl
160825	l	l
160826	špš	špš
#---------------------------- KTU 3.1 26
160827	mlk	mlk
160828	rb	rb
160829	bʿlh	bʿlh
#---------------------------- KTU 3.1 27
160830	ks	ks
160831	ḫrṣ	ḫrṣ
160832	ktn	ktn
160833	mit	mit
160834	pḥm	pḥm
#---------------------------- KTU 3.1 28
160835	mit	mit
160836	iqni	iqni
160837	l	l
160838	mlkt	mlkt
#---------------------------- KTU 3.1 29
160839	ks	ks
160840	ḫrṣ	ḫrṣ
160841	ktn	ktn
160842	mit	mit
160843	pḥm	pḥm
#---------------------------- KTU 3.1 30
160844	mit	mit
160845	iqni	iqni
160846	l	l
160847	uṯryn	uṯryn
#---------------------------- KTU 3.1 31
160848	ks	ks
160849	ksp	ksp
160850	ktn	ktn
160851	mit	mit
160852	pḥm	pḥm
#---------------------------- KTU 3.1 32
160853	mit	mit
160854	iqni	iqni
160855	ltpnr	ltpnr
#---------------------------- KTU 3.1 33
160856	ks	ks
160857	ksp	ksp
160858	ktn	ktn
160859	mit	mit
160860	pḥm	pḥm
#---------------------------- KTU 3.1 34
160861	mit	mit
160862	iqni	iqni
160863	lḫbrtnr	lḫbrtnr
#---------------------------- KTU 3.1 35
160864	ks	ks
160865	ksp	ksp
160866	ktn	ktn
160867	mit	mit
160868	pḥm	pḥm
#---------------------------- KTU 3.1 36
160869	mit	mit
160870	iqni	iqni
160871	l	l
160872	ḫbrtnr	ḫbrtnr
160873	ṯn	ṯn
#---------------------------- KTU 3.1 37
160874	ks	ks
160875	ksp	ksp
160876	ktn	ktn
160877	mit	mit
160878	pḥm	pḥm
#---------------------------- KTU 3.1 38
160879	mit	mit
160880	iqni	iqni
160881	l	l
160882	skn	skn
160883	bt	bt
160884	mlk	mlk
#---------------------------- KTU 3.1 39
160885	mit	mit
160886	pḥm	pḥm
160887	l	l
160888	škl	škl
#---------------------------- KTU 3.1 40
160889	ax	ax
160890	xxx	xxx
160891	hn	hn
