#---------------------------- KTU 3.20 1
161648	rišym	rišym
161649	dt	dt
161650	ʿrb	ʿrb
#---------------------------- KTU 3.20 2
161651	b	b
161652	bnšhm	bnšhm
#---------------------------- KTU 3.20 3
161653	ḏmry	ḏmry
161654	w	w
161655	pṯpṯ	pṯpṯ
161656	ʿrb	ʿrb
#---------------------------- KTU 3.20 4
161657	b	b
161658	yrm	yrm
#---------------------------- KTU 3.20 5
161659	ily	ily
161660	w	w
161661	ḏmry	ḏmry
161662	ʿrb	ʿrb
#---------------------------- KTU 3.20 6
161663	b	b
161664	ṯbʿm	ṯbʿm
#---------------------------- KTU 3.20 7
161665	ydn	ydn
161666	bn	bn
161667	ilrpi	ilrpi
#---------------------------- KTU 3.20 8
161668	w	w
161669	ṯbʿm	ṯbʿm
161670	ʿrb	ʿrb
161671	b	b
161672	ʿdn	ʿdn
#---------------------------- KTU 3.20 9
161673	ḏmry	ḏmry
161674	bn	bn
161675	yrm	yrm
#---------------------------- KTU 3.20 10
161676	ʿrb	ʿrb
161677	b	b
161678	adʿy	adʿy
