#---------------------------- KTU 3.23 1
161741	ḫmšt	ḫmšt
161742	ʿšrt	ʿšrt
#---------------------------- KTU 3.23 2
161743	ksp	ksp
161744	ʿl	ʿl
161745	agdṯb	agdṯb
#---------------------------- KTU 3.23 3
161746	w	w
161747	nit	nit
161748	wmʿṣd	wmʿṣd
#---------------------------- KTU 3.23 4
161749	w	w
161750	ḫrmṯt	ḫrmṯt
#---------------------------- KTU 3.23 5
161751	ʿšrt	ʿšrt
161752	ksp	ksp
#---------------------------- KTU 3.23 6
161753	ʿl	ʿl
161754	ḫzrn	ḫzrn
#---------------------------- KTU 3.23 7
161755	w	w
161756	nit	nit
161757	w	w
161758	mʿṣd	mʿṣd
#---------------------------- KTU 3.23 8
161759	w	w
161760	ḫrmṯt	ḫrmṯt
#---------------------------- KTU 3.23 9
161761	ʿšrt	ʿšrt
161762	ksp	ksp
#---------------------------- KTU 3.23 10
161763	ʿl	ʿl
161764	rṣn	rṣn
#---------------------------- KTU 3.23 11
161765	w	w
161766	nit	nit
#---------------------------- KTU 3.23 12
161767	w	w
161768	mʿṣd	mʿṣd
#---------------------------- KTU 3.23 13
161769	w	w
161770	ḫrmṯt	ḫrmṯt
#---------------------------- KTU 3.23 14
161771	ʿšrt	ʿšrt
161772	ksp	ksp
#---------------------------- KTU 3.23 15
161773	ʿl	ʿl
161774	ʿgx	ʿgx
#---------------------------- KTU 3.23 16
161775	w	w
161776	nit	nit
161777	w	w
161778	mʿṣd	mʿṣd
#---------------------------- KTU 3.23 17
161779	w	w
161780	ḫrmṯt	ḫrmṯt
#---------------------------- KTU 3.23 18
161781	ṯlṯm	ṯlṯm
161782	arbʿ	arbʿ
#---------------------------- KTU 3.23 19
161783	kbd	kbd
161784	ksp	ksp
#---------------------------- KTU 3.23 20
161785	ʿl	ʿl
161786	tgyn	tgyn
#---------------------------- KTU 3.23 21
161787	w	w
161788	ʿl	ʿl
161789	aṯth	aṯth
#---------------------------- KTU 3.23 22
161790	ypḥ	ypḥ
161791	mʿnt	mʿnt
#---------------------------- KTU 3.23 23
161792	bn	bn
161793	lbn	lbn
