dulat	gloss
ảmrr	“Blessed”, one of the two messenger-boys of the goddess ảṯrt
ảrš	a monster (“many-headed”, “whale”)
ảrṣy 	Arṣay/Arsay
ảtn (II)	Attenu
ảṯrt (II)	ʾAṯiratu/Athirat/Asherah/El’s wife
ảymr	name of a magic mace
bʕl (II)	Baʿlu/Baal
ḏbb	mythical female being defeated by Anat (etym. unc.)
dmrn	the Powerful One/Valiant One/title of Baal
gpn (III)	Gupan/one of Baal’s messenger-boys
gṯr	Gaṯaru/Gašru/eponym of the dead and deified kings
hd(d)	Haddu/Hadad
ḫss	Ḫasisu/Khasis
hyn	Hayyānu/alt. name of the god kṯr (Kothar)
ỉl (I)	ʾIlu/Ilu/El
ỉlmlk	ʾIlimalku/Ilimilku/Elimelek
ksả	second component of the double-barrelled divine name yrḫ w ksả, a lunar deity
kṯr (III)	Koṯaru/Kothar
ltn(I)	Lotan/Litan/Litanu
mṣrm	Egypt
mt (II)	Mot/Death
nhr	Naharu/“River”/alternative DN of the god ym
nqmd	Niqmaddu II
pdry	Pidray
qdš (III)	“The Holy One”, epithet of the god ỉl/“The Holy One”, name of one of the messenger-boys of the goddess ảṯrt
qẓb	name of a demon (?)
šbny	Shubanite
šlyṭ	Šaliyaṭu
šnm	Šunama/Shunama
šnm	Šunama/Shunama/second member of the double-barrelled divine name ṯkmn w šnm, origin unknown 
ṣpn	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified
špš	Šapšu/Shapsh/Shapshu
ṯkmn	Ṯukamuna/Thukamuna
ṯkmn	Ṯukamuna/Thukamuna/first element of the double-barrelled DN ṯkmn w šnm, origin unknown 
ṭly	Tallay
tnn (I)	“dragon” ym’s primordial ally or double
ṯrmn (I)	term for the kings of Ugarit 
tṯb	Teṯo/Hurrian storm god
ủgr (II)	Ugar/one of the two messenger-boys of Baal
ym	Yammu/the god “Sea”
yrḫ	Yariḫu/Yarikh
yw	alternative (ancient?) name of the god ym
yʕbdr	Yaʿibdarru/"(Daughter) of the Wide World"/attribute of ảrṣy, daughter of the god bʕl (etym. unc.)
ʕnt (I)	ʿAnatu/Anat
ʕtk (I)	a monster (“the Savage One”?)
ʕṯtr	ʿAṯtar
ʕṯtrt (I)	ʿAṯtartu/Astarte/Ishtar
