#---------------------------- KTU 1.103 1
152308	ṯknt	ṯknt/	ṯknt	n.	appearance, form	
152309	ṣin	ṣin(I)/	ṣỉn (I)	n.	ewe, small cattle	
152310	k	k(I)/;k(I);k(II)	-k (I);k (I);k (II)	pers. pn., morph.;prep.;emph. functor	your(s);like, as;yes	ambiguous DULAT candidates: 10 (showing top 3)
152311	tld	tld[	/y-l-d/	vb	to give birth (to), bear	
152312	at	at(I)/;at(II)/;at[	ảt (I);ảt (II);/ʔ-t-w/	pers. pn.;n.;vb	you;prodigious, ominous sign, particularly anomalous foetus;to come, go	ambiguous DULAT candidates: 4 (showing top 3)
152313	abn	abn/;abn[;abn[	ảbn;/b-n-y/;/b-n/	n.;vb;vb	stone;to build;to understand	ambiguous DULAT candidates: 4 (showing top 3)
152314	madtn	madtn(I)/	mảdt (I)	n.	great quantity, many people, a crowd	
152315	tqln	tqln[	/q-l/	vb	to fall (down)	
152316	bḥwt	bḥwt				DULAT: NOT FOUND
#---------------------------- KTU 1.103 2
152317	ʿlh	ˤlh(I);ˤlh(II)	ʕl (I);ʕl (II)	prep.;adv.	upon, on top of;above, on top	
152318	nḥš	nḥš/	nḥš	n.	serpent, snake	
152319	yaṯr	yaṯr[	/ʔ-ṯ-r/	vb	to go, follow	
152320	yld	yld[;yld/	/y-l-d/;yld	vb;n.	to give birth (to), bear;son, (human) child; 2) (animal) young	
152321	bhmth	bhmth/	bhmt	n.	cattle	
152322	tʿṭpn	tˤṭpn[	/ʕ-ṭ-p/	vb	to be weak	
#---------------------------- KTU 1.103 3
152323	gm	gm(II);gm/	gm (II);g	adv.;n.	also, even;(loud) voice, shout	
152324	ššxx	ššxx				DULAT: NOT FOUND
152325	rġbn	rġbn/	rġbn	n.	hunger	
152326	ykn	ykn[	/k-n/	vb	to be (stable), have	
152327	bḥwt	bḥwt				DULAT: NOT FOUND
#---------------------------- KTU 1.103 4
152328	w	w	w	conj.	and	
152329	inxxxxxx	inxxxxxx				DULAT: NOT FOUND
152330	ḥwtn	ḥwtn				DULAT: NOT FOUND
152331	tḫlq	tḫlq[	/ḫ-l-q/	vb	to perish, to be lost	
#---------------------------- KTU 1.103 5
152332	wqrbh	wqrbh				DULAT: NOT FOUND
152333	ptḥ	ptḥ[;ptḥ/	/p-t-ḥ/;ptḥ	vb;n.	to open;entrance, door	
152334	rġbn	rġbn/	rġbn	n.	hunger	
152335	ykn	ykn[	/k-n/	vb	to be (stable), have	
152336	bḥwt	bḥwt				DULAT: NOT FOUND
#---------------------------- KTU 1.103 6
152337	win	win				DULAT: NOT FOUND
152338	bhap	bhap				DULAT: NOT FOUND
152339	wḫr	wḫr				DULAT: NOT FOUND
152340	apm	apm				DULAT: NOT FOUND
152341	ḥwtntḫlq	ḥwtntḫlq				DULAT: NOT FOUND
152342	mt	mt[;mt(I)/;mt(II)/	/m-t/;mt (I);mt (II)	vb;n.;n.	to die;dead person, deceased;death	ambiguous DULAT candidates: 6 (showing top 3)
152343	n	n(II)[;n[;n[	-n (II);/g-r(-y)/;/h-b-ṭ/ẓ/	pers. pn., morph., vb;vb;vb	me, to me;to attack;to knock down, hit	ambiguous DULAT candidates: 42 (showing top 3)
152344	rgm	rgm[;rgm/	/r-g-m/;rgm	vb;n.	to say, tell, announce, communicate, inform; to answer; to recite;word, expression, saying; news; question; answer, reply, oracle	
#---------------------------- KTU 1.103 7
152345	win	win				DULAT: NOT FOUND
152346	xxxxmlkn	xxxxmlkn				DULAT: NOT FOUND
152347	yiḫd	yiḫd[	/ʔ-ḫ-d(/ḏ)/	vb	to collect, to take (back), grasp, seize, hold	
152348	ḥwt	ḥwt/;ḥwt(I)[	ḥwt;/ḥ-w/y-y/ (I)	n.;vb	country, land, territory;to live, be alive	
152349	ibh	ibh(I)/	ỉb (I)	n.	enemy	
152350	mrḥy	mrḥy/	mrḥ	n.	lance, spear	
152351	mlk	mlk[;mlk(I);mlk(II)/	/m-l-k/;mlk (I);mlk (II)	vb;;n.	to reign, rule;king, sovereign;kingdom (power and territory)	
152352	tdlln	tdlln[	/d-l-l/	vb	to oppress, subdue, subjugate	
#---------------------------- KTU 1.103 8
152353	ʿnh	ˤnh(I)/	ʕn (I)	n.	eye	
152354	mxxxxxxxmḫt	mxxxxxxxmḫt				DULAT: NOT FOUND
152355	bhmt	bhmt/	bhmt	n.	cattle	
152356	ḥwt	ḥwt/;ḥwt(I)[	ḥwt;/ḥ-w/y-y/ (I)	n.;vb	country, land, territory;to live, be alive	
152357	tḫlq	tḫlq[	/ḫ-l-q/	vb	to perish, to be lost	
#---------------------------- KTU 1.103 9
152358	w	w	w	conj.	and	
152359	in	in/	ỉn	n.	lack of, absence	
152360	šq	šq/	šq	n.	thigh, leg	
152361	šmal	šmal/	šmảl	adj. or n.	left	
152362	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
152363	mlkn	mlkn(I)	mlk (I)		king, sovereign	
152364	y	y;y[;y[	y;/l-q-ẓ/;/m-ġ-y/	prep. functor;vb;vb	oh!;to pick up;to come, arrive	ambiguous DULAT candidates: 23 (showing top 3)
#---------------------------- KTU 1.103 10
152365	w	w	w	conj.	and	
152366	in	in/	ỉn	n.	lack of, absence	
152367	qṣršmal	qṣršmal				DULAT: NOT FOUND
152368	mlkn	mlkn(I)	mlk (I)		king, sovereign	
152369	xxxxḥwtibh	xxxxḥwtibh				DULAT: NOT FOUND
#---------------------------- KTU 1.103 11
152370	w	w	w	conj.	and	
152371	qrn	qrn/	qrn	n.	horn	
152372	širbpith	širbpith				DULAT: NOT FOUND
152373	šmal	šmal/	šmảl	adj. or n.	left	
152374	mlkn	mlkn(I)	mlk (I)		king, sovereign	
152375	xxxxḥwt	xxxxḥwt				DULAT: NOT FOUND
152376	ibh	ibh(I)/	ỉb (I)	n.	enemy	
#---------------------------- KTU 1.103 12
152377	ṭḥl	ṭḥl/	ṭḥl	n.	spleen	
152378	in	in/	ỉn	n.	lack of, absence	
152379	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
152380	rġbn	rġbn/	rġbn	n.	hunger	
152381	ykn	ykn[	/k-n/	vb	to be (stable), have	
152382	bḥwt	bḥwt				DULAT: NOT FOUND
152383	xxxṯnykn	xxxṯnykn				DULAT: NOT FOUND
#---------------------------- KTU 1.103 13
152384	mlkn	mlkn(I)	mlk (I)		king, sovereign	
152385	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to, towards, up to;no, not;certainly, undoubtedly, yes	ambiguous DULAT candidates: 7 (showing top 3)
152386	ypq	ypq[;ypq[	/y-p-q/;/p-q/	vb;vb	to get, obtain;to obtain, acquire	
152387	špḥ	špḥ				DULAT: NOT FOUND
#---------------------------- KTU 1.103 14
152388	w	w	w	conj.	and	
152389	in	in/	ỉn	n.	lack of, absence	
152390	uškm	uškm/	ủšk	n.	testicle	
152391	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
152392	ḏrʿ	ḏrˤ				DULAT: NOT FOUND
152393	ḥwt	ḥwt/;ḥwt(I)[	ḥwt;/ḥ-w/y-y/ (I)	n.;vb	country, land, territory;to live, be alive	
152394	hytyḥsl	hytyḥsl				DULAT: NOT FOUND
#---------------------------- KTU 1.103 15
152395	w	w	w	conj.	and	
152396	in	in/	ỉn	n.	lack of, absence	
152397	krʿ	krˤ	krʕ		knuckle, clavicle	
152398	ydh	ydh(I)/;ydh(II)/	yd (I);yd (II)	n.;n.	hand;love	
152399	šmal	šmal/	šmảl	adj. or n.	left	
152400	mlknyḫlq	mlknyḫlq				DULAT: NOT FOUND
152401	bhmtibh	bhmtibh				DULAT: NOT FOUND
#---------------------------- KTU 1.103 16
152402	winx	winx				DULAT: NOT FOUND
152403	ibn	ibn(I)/	ỉb (I)	n.	enemy	
152404	yḫlq	yḫlq[	/ḫ-l-q/	vb	to perish, to be lost	
152405	bhmt	bhmt/	bhmt	n.	cattle	
152406	ḥwt	ḥwt/;ḥwt(I)[	ḥwt;/ḥ-w/y-y/ (I)	n.;vb	country, land, territory;to live, be alive	
#---------------------------- KTU 1.103 17
152407	ḥ	ḥ[;ḥ/	/l-q-ḥ/;ḥkpt	vb;TN	to get hold of, take, grasp; to receive, accept, take (away); to collect, hold; to choose, opt for something;	
152408	ṯnn	ṯnn(I)/;ṯnn(II)/	ṯnn (I);ṯn (II)	n.;num., adj.	archer;second	
152409	ʿz	ˤz(I)/;ˤz(II)/;ˤz(III)/	ʕz (I);ʕz (II);ʕz (III)	n.;n.;adj. or n.	strength, force;caprine animal, kid, goat;strong, powerful	ambiguous DULAT candidates: 4 (showing top 3)
152410	yuḫd	yuḫd[	/ʔ-ḫ-d(/ḏ)/	vb	to collect, to take (back), grasp, seize, hold	
152411	ib	ib(I)/;ib(II)/	ỉb (I);ỉb (II)	n.;n., DN	enemy;fruit	
152412	mlk	mlk[;mlk(I);mlk(II)/	/m-l-k/;mlk (I);mlk (II)	vb;;n.	to reign, rule;king, sovereign;kingdom (power and territory)	
#---------------------------- KTU 1.103 18
152413	ibnyḫlq	ibnyḫlq				DULAT: NOT FOUND
152414	mṯn	mṯn/	mṯn	n.	repetition	
152415	rgm	rgm[;rgm/	/r-g-m/;rgm	vb;n.	to say, tell, announce, communicate, inform; to answer; to recite;word, expression, saying; news; question; answer, reply, oracle	
#---------------------------- KTU 1.103 19
152416	rġb	rġb[	/r-ġ-b/	vb	to be hungry	
152417	w	w	w	conj.	and	
152418	tp	tp(I)/;tp(II)/;tp[	tp (I);tp (II);/n-p-y/	n.;n.;vb	drum;aspect;to be driven away, expelled, banished	
152419	mṣqt	mṣqt/	mṣqt	n.	difficult situation, trouble	
#---------------------------- KTU 1.103 20
152420	tʿzzn	tˤzzn				DULAT: NOT FOUND
#---------------------------- KTU 1.103 21
152421	txxrn	txxrn				DULAT: NOT FOUND
#---------------------------- KTU 1.103 22
152422	ibh	ibh(I)/	ỉb (I)	n.	enemy	
#---------------------------- KTU 1.103 23
152423						
152424	tpšlt	tpšlt/	tpšlt	n.	oppression	
#---------------------------- KTU 1.103 24
152425	xxxxxx	xxxxxx				
152426	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to, towards, up to;no, not;certainly, undoubtedly, yes	ambiguous DULAT candidates: 7 (showing top 3)
#---------------------------- KTU 1.103 25
152427	w	w	w	conj.	and	
152428	qrn	qrn/	qrn	n.	horn	
152429	šir	šir(I)/;šir(II)/	šỉr (I);šỉr (II)	n.;n.	flesh;strip	
152430	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to, towards, up to;no, not;certainly, undoubtedly, yes	ambiguous DULAT candidates: 7 (showing top 3)
152431	kr	kr[	/k-r/	vb	to be hot, furious, enraged	
#---------------------------- KTU 1.103 26
152432	w	w	w	conj.	and	
152433	in	in/	ỉn	n.	lack of, absence	
152434	šq	šq/	šq	n.	thigh, leg	
152435	ymn	ymn(I)/	ymn (I)	n.	right (side)	
152436	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
#---------------------------- KTU 1.103 27
152437	w	w	w	conj.	and	
152438	in	in/	ỉn	n.	lack of, absence	
152439	ḫrṣp	ḫrṣp/	ḫrṣ/ẓp	n.	ankle, meton. for foot	
152440	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
152441	krʿ	krˤ	krʕ		knuckle, clavicle	
152442	ydh	ydh(I)/;ydh(II)/	yd (I);yd (II)	n.;n.	hand;love	
#---------------------------- KTU 1.103 28
152443	w	w	w	conj.	and	
152444	in	in/	ỉn	n.	lack of, absence	
152445	krʿ	krˤ	krʕ		knuckle, clavicle	
152446	ydh	ydh(I)/;ydh(II)/	yd (I);yd (II)	n.;n.	hand;love	
152447	ymnmlkn	ymnmlkn				DULAT: NOT FOUND
#---------------------------- KTU 1.103 29
152448	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to, towards, up to;no, not;certainly, undoubtedly, yes	ambiguous DULAT candidates: 7 (showing top 3)
152449	ypq	ypq[;ypq[	/y-p-q/;/p-q/	vb;vb	to get, obtain;to obtain, acquire	
152450	špḥ	špḥ				DULAT: NOT FOUND
#---------------------------- KTU 1.103 30
152451	w	w	w	conj.	and	
152452	in	in/	ỉn	n.	lack of, absence	
152453	ḫr	ḫr(I)/;ḫr[	ḫr (I);/ḫ-r(-r)/	n.;vb	cave, fossa, tomb;to have spasms (of diarrhoea)	
152454	apm	apm				DULAT: NOT FOUND
152455	kl	kl/	kl	n.	totality (of)	
#---------------------------- KTU 1.103 31
152456	w	w	w	conj.	and	
152457	in	in/	ỉn	n.	lack of, absence	
152458	lšn	lšn/	lšn	n.	tongue	
152459	bh	bh[;bh	/n-q-b/;b	vb;prep.	to pierce;in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
152460	rġbn	rġbn/	rġbn	n.	hunger	
#---------------------------- KTU 1.103 32
152461	šphth	šphth				DULAT: NOT FOUND
152462	tḥyt	tḥyt				DULAT: NOT FOUND
152463	krtx	krtx				DULAT: NOT FOUND
