#---------------------------- KTU 1.114 1
153785	il	il(I)/	ỉl (I)	n.	god
153786	dbḥ	dbḥ[;dbḥ/	/d-b-ḥ/;dbḥ	vb;n.	to sacrifice;sacrifice
153787	b	b	b	prep.	in
153788	bth	bt(II)/	bt (II)	n.	house
153789	mṣd	mṣd(I)/	mṣd (I)	n.	(feast / banquet of) game
153790	ṣd	ṣd[;ṣd(I)/;ṣd(II)/	/ṣ-d/;ṣd (I);ṣd (II)	vb;n.;n.	to hunt;hunt;roamer
153791	b	b	b	prep.	in
153792	qrb	qrb[;qrb/	/q-r-b/;qrb	vb;n.	to approach;inside
#---------------------------- KTU 1.114 2
153793	hklh	hkl/	hkl	n.	palace
153794	ṣḥ	ṣḥ[	/ṣ-ḥ/	vb	to exclaim
153795	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
153796	qṣ	qṣ/;qṣ[	qṣ;/q-ṣ(-ṣ)/	n.;vb	end;to carve
153797	ilm	il(I)/	ỉl (I)	n.	god
153798	tlḥmn	!t!lḥm(I)[	/l-ḥ-m/ (I)	vb	to eat
#---------------------------- KTU 1.114 3
153799	ilm	il(I)/	ỉl (I)	n.	god
153800	w	w	w	conj.	and
153801	tštn	!t!št[	/š-t/	vb	to place
153802	tštn	!t!št[	/š-t/	vb	to place
153803	ynˤd	?	?	?	?	DULAT: NOT FOUND
153804	šbˤ	šbˤ(I)/	šbʕ (I)	n. num.	seven
#---------------------------- KTU 1.114 4
153805	trṯ	trṯ/	trṯ	n.	new wine
153806	ˤd	ˤd(III)/;ˤd(II)/	ʕd (III);ʕd (II)	n.;n.	throne;time
153807	škr	škr(I)[;škr(II)[	/š-k-r/ (I);/š-k-r/ (II)	vb;vb	to hire out;to become intoxicated
153808	yˤdb	!y!ˤdb[	/ʕ-d-b/	vb	to leave > to put in
153809	yrḫ	yrḫ/	yrḫ	n.	moon
#---------------------------- KTU 1.114 5
153810	gbh	gb(II)/	gb (II)	n.	spine
153811	km	k(I);k(III);k(IV)	k (I);k (III);k (IV)	prep.;Subordinating or completive functor;adv.	like;when;thus
153812	klb	klb(I)/	klb (I)	n.	dog
153813	yqṯqṯ	!y!qṯ[	/q-ṯ/	vb	to drag
153814	tḥt	tḥt(I)	tḥt (I)	prep.	under
#---------------------------- KTU 1.114 6
153815	ṯlḥnt	ṯlḥn/	ṯlḥn	n.	table
153816	il	il(I)/	ỉl (I)	n.	god
153817	d	d	d	det. or rel. functor	the one(s) of
153818	ydˤnn	!y!ydˤ(I)[	/y-d-ʕ/ (I)	vb	to know
#---------------------------- KTU 1.114 7
153819	yˤdb	!y!ˤdb[	/ʕ-d-b/	vb	to leave > to put in
153820	lḥm	lḥm(I)[;lḥm/;lḥ(I)/	/l-ḥ-m/ (I);lḥm;lḥ (I)	vb;n.;n.	to eat;grain;cheek
153821	lh	l(I)	l (I)	prep.	to
153822	w	w	w	conj.	and
153823	dl	dl/	dl	adj.	poor
153824	ydˤnn	!y!ydˤ(I)[	/y-d-ʕ/ (I)	vb	to know
#---------------------------- KTU 1.114 8
153825	y	y	y	prep. functor	oh!
153826	lmn	šlm[	/š-l-m/	vb	to be well
153827	ḫṭm	ḫṭ/	ḫṭ	n.	sceptre
153828	tḥt	tḥt(I)	tḥt (I)	prep.	under
153829	ṯlḥn	ṯlḥn/	ṯlḥn	n.	table
#---------------------------- KTU 1.114 9
153830	ˤṯtrt	ˤṯtrt(II)/	ʕṯtrt (II)	TN	ʕṯtrt (II)
153831	w	w	w	conj.	and
153832	ˤnyt	?	?	?	?	DULAT: NOT FOUND
153833	ymġy	!y!mġy[	/m-ġ-y/	vb	to come
#---------------------------- KTU 1.114 10
153834	ˤṯtrt	ˤṯtrt(II)/	ʕṯtrt (II)	TN	ʕṯtrt (II)
153835	tˤdb	?	?	?	?	DULAT: NOT FOUND
153836	nšb	nšb/	nšb	n.	slice
153837	lh	l(I)	l (I)	prep.	to
#---------------------------- KTU 1.114 11
153838	w	w	w	conj.	and
153839	ˤnt	ˤnt(I)/;ˤnt(II);ˤn(I)/	ʕnt (I);ʕnt (II);ʕn (I)	DN;adv.;n.	sister;now;eye
153840	ktp	ktp(I)/	ktp (I)	n.	shoulder
153841	xbhm	?	?	?	?	DULAT: NOT FOUND
153842	ygˤr	!y!gˤr[	/g-ʕ-r/	vb	to reproach
153843	ṯġr	ṯġr(II)/;ṯġr(I)/	ṯġr (II);ṯġr (I)	n.;n.	gatekeeper;gate
#---------------------------- KTU 1.114 12
153844	bt	bt(II)/;bt(I)/;bt(III)/	bt (II);bt (I);bt (III)	n.;n.;n.	house;daughter;length
153845	il	il(I)/	ỉl (I)	n.	god
153846	pn	pnm/;pn	pnm;pn	n.;functor	face;lest
153847	lm	l(I)	l (I)	prep.	to
153848	rlb	?	?	?	?	DULAT: NOT FOUND
153849	tˤdbn	!t!ˤdb[	/ʕ-d-b/	vb	to leave > to put in
#---------------------------- KTU 1.114 13
153850	nšb	nšb/	nšb	n.	slice
153851	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
153852	inr	inr/	ỉnr	n.	dog
153853	tˤdbn	!t!ˤdb[	/ʕ-d-b/	vb	to leave > to put in
153854	ktp	ktp(I)/	ktp (I)	n.	shoulder
#---------------------------- KTU 1.114 14
153855	b	b	b	prep.	in
153856	il	il(I)/	ỉl (I)	n.	god
153857	abh	ab/	ảb	n.	father
153858	gˤr	gˤr[	/g-ʕ-r/	vb	to reproach
153859	yṯb	yṯb[	/y-ṯ-b/	vb	to sit down
153860	il	il(I)/	ỉl (I)	n.	god
153861	w	w	w	conj.	and
153862	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
#---------------------------- KTU 1.114 15
153863	aškr	?	?	?	?	DULAT: NOT FOUND
153864	il	il(I)/	ỉl (I)	n.	god
153865	yṯb	yṯb[	/y-ṯ-b/	vb	to sit down
153866	b	b	b	prep.	in
153867	mrzḥh	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.114 16
153868	yšt	!y!št[;šty[	/š-t/;/š-t-y/	vb;vb	to place;to drink
153869	yn	yn/	yn	n.	wine
153870	ˤd	ˤd(III)/;ˤd(II)/	ʕd (III);ʕd (II)	n.;n.	throne;time
153871	šbˤ	šbˤ(I)/	šbʕ (I)	n. num.	seven
153872	trṯ	trṯ/	trṯ	n.	new wine
153873	ˤd	ˤd(III)/;ˤd(II)/	ʕd (III);ʕd (II)	n.;n.	throne;time
153874	škr	škr(I)[;škr(II)[	/š-k-r/ (I);/š-k-r/ (II)	vb;vb	to hire out;to become intoxicated
#---------------------------- KTU 1.114 17
153875	il	il(I)/	ỉl (I)	n.	god
153876	hlk	hlk[	/h-l-k/	vb	to go
153877	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
153878	bth	bt(II)/	bt (II)	n.	house
153879	yštql	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.114 18
153880	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
153881	ḥẓrh	ḥẓr/	ḥẓr	n.	mansion
153882	yˤmsn	!y!ˤms[	/ʕ-m-s/	vb	to load
153883	nn	gr[;grš[	/g-r(-y)/;/g-r-š/	vb;vb	to attack;to eject
153884	ṯkmn	ṯkm/+n(I);ṯkm/+n(II);ṯkm/+n(III)	ṯkm,-n (I);ṯkm,-n (II);ṯkm,-n (III)	n.,morph.;n.,pers. pn./morph./vb;n.,pers. pn./morph.	shoulder,Sun;shoulder,me;shoulder,our
#---------------------------- KTU 1.114 19
153885	w	w	w	conj.	and
153886	šnm	šnw[+m(I);šnw[+m(II)	/š-n-w/,-m (I);/š-n-w/,-m (II)	vb,morph.;vb,emph. or det. encl. morph.	to change: a) reflex.,;to change: a) reflex.,und das (ist) so!
153887	w	w	w	conj.	and
153888	ngšnn	!n!ngš[	/n-g-š/	vb	to approach
153889	ḥby	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.114 20
153890	bˤl	bˤl(II)/;bˤl(I)/;bˤl[	bʕl (II);bʕl (I);/b-ʕ-l/	n./DN;n.;vb	Baʿlu;labourer;to make
153891	qrnm	qrn/	qrn	n.	horn
153892	w	w	w	conj.	and
153893	ḏnb	ḏnb/	ḏnb(t)	n.	tail
153894	ylšn	!y!lš[	/l-š/	vb	to soil
#---------------------------- KTU 1.114 21
153895	b	b	b	prep.	in
153896	ḫrih	ḫru/	ḫrủ	n.	faeces
153897	w	w	w	conj.	and
153898	ṯnth	ṯn(II)/+h(I);ṯn(II)/+h(II);ṯny[+h(I)	ṯn (II),-h (I);ṯn (II),-h (II);/ṯ-n-y/,-h (I)	num./adj.,pers. pn./morph.;num./adj.,adv. functor;vb,pers. pn./morph.	second,his /her (hers) / its;second,to;to repeat,his /her (hers) / its
153899	ql	ql[;ql(I)/;ql(II)/	/q-l/;ql (I);ql (II)	vb;n.;n.	to fall (down);voice;swift (courier
153900	il	il(I)/	ỉl (I)	n.	god
153901	km	k(I);k(III);k(IV)	k (I);k (III);k (IV)	prep.;Subordinating or completive functor;adv.	like;when;thus
153902	mt	mt(II)/;mt[;mt(I)/	mt (II);/m-t/;mt (I)	n.;vb;n.	death;to die;dead person
#---------------------------- KTU 1.114 22
153903	il	il(I)/	ỉl (I)	n.	god
153904	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes
153905	yrdm	!y!yrd[	/y-r-d/	vb	to go down
153906	arṣ	arṣ/	ảrṣ	n.	earth
153907	ˤnt	ˤnt(I)/;ˤnt(II);ˤn(I)/	ʕnt (I);ʕnt (II);ʕn (I)	DN;adv.;n.	sister;now;eye
#---------------------------- KTU 1.114 23
153908	w	w	w	conj.	and
153909	ˤṯtrt	ˤṯtrt(II)/	ʕṯtrt (II)	TN	ʕṯtrt (II)
153910	tṣdn	!t!ṣd[	/ṣ-d/	vb	to hunt
153911	šdxxxx	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.114 24
153912	qdš	qdš(I)/;qdš(II)/	qdš (I);qdš (II)	adj.;n.	holy;sanctuary
153913	bˤl	bˤl(II)/;bˤl(I)/;bˤl[	bʕl (II);bʕl (I);/b-ʕ-l/	n./DN;n.;vb	Baʿlu;labourer;to make
#---------------------------- KTU 1.114 25
153914	xxxxxn	?	?	?	?	DULAT: NOT FOUND
153915	dxx	?	?	?	?	DULAT: NOT FOUND
153916	xxx	?	?	?	?
153917	xx	?	?	?	?
#---------------------------- KTU 1.114 26
153918	ˤṯtrt	ˤṯtrt(II)/	ʕṯtrt (II)	TN	ʕṯtrt (II)
153919	w	w	w	conj.	and
153920	ˤntxxxxxxx	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.114 27
153921	w	w	w	conj.	and
153922	bhm	b	b	prep.	in
153923	tṯṯb	!t!]š]ṯb[	/ṯ-b/	vb	to return
