#---------------------------- KTU 1.15 I:1
142733	rġb	rġb[	/r-ġ-b/	vb	to be hungry	
142734	yd	yd(I)/	yd (I)	n.	hand	
142735	mṯkt	mṯk[	/m-ṯ-k/	vb	to carry	
#---------------------------- KTU 1.15 I:2
142736	mẓma	mẓmu/	mẓmủ	n.	thirsty	
142737	yd	yd(I)/	yd (I)	n.	hand	
142738	mṯkt	mṯk[	/m-ṯ-k/	vb	to carry	
#---------------------------- KTU 1.15 I:3
142739	tṯṯkrnn	!t!]š]ṯkr[+n(I);!t!]š]ṯkr[+n(II);!t!]š]ṯkr[+n(III)	/ṯ-k-r/,-n (I);/ṯ-k-r/,-n (II);/ṯ-k-r/,-n (III)	vb,morph.;vb,pers. pn./morph./vb;vb,pers. pn./morph.	to deliver (in payment or tribute),Sun;to deliver (in payment or tribute),me;to deliver (in payment or tribute),our	
142740	ˤbdn	ˤbd(I)/	ʕbd (I)	n.	servant	
#---------------------------- KTU 1.15 I:4
142741	ˤm	ˤm(I)	ʕm (I)	prep.	to	
142742	krt	krt/	krt	PN	krt	
142743	mswnh	mswn/	mswn	n.	delegate	
#---------------------------- KTU 1.15 I:5
142744	arḫ	arḫ/	ảrḫ	n.	cow	
142745	tzġ	tzġ/	tzġ	n.	kind of sacrificial meat	
142746	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
142747	ˤglh	ˤgl(I)/	ʕgl (I)	n.	calf	
#---------------------------- KTU 1.15 I:6
142748	bn	bn(I)/;bn(II);bn[	bn (I);bn (II);/b-n/	n.;prep.;vb	son;between;to understand	
142749	ḫpṯ	ḫpṯ/	ḫpṯ	n.	fugitive	
142750	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
142751	umhthm	um/	ủm	n.	mother	
#---------------------------- KTU 1.15 I:7
142752	k	k(I);k(III);k(II)	k (I);k (III);k (II)	prep.;Subordinating or completive functor;emph. functor	like;when;yes	
142753	tnḥn	!t!nḥ[	/n-ḥ/	vb	to moan	
142754	udmm	udm/	ủdm	TN	ủdm	
#---------------------------- KTU 1.15 I:8
142755	w	w	w	conj.	and	
142756	yˤny	!y!ˤny(I)[	/ʕ-n-y/ (I)	vb	to answer	
142757	krt	krt/	krt	PN	krt	
142758	ṯˤ	ṯˤ(II)/;ṯˤ(I)/	ṯʕ (II);ṯʕ (I)	n.;n.	Hero;offering	
#---------------------------- KTU 1.15 II:1
142759	xxxxxxxxxxm	xxxxxxxxxxm				DULAT: NOT FOUND
#---------------------------- KTU 1.15 II:2
142760	xxxxxxxxx	xxxxxxxxx				
142761	ṯr	ṯr(I)/	ṯr (I)	n.	bull	
#---------------------------- KTU 1.15 II:3
142762	xxx	xxx				
142763	aliyn	aliyn/	ảlỉyn	adj.	The Very / Most Powerful	
142764	bˤl	bˤl(II)/;bˤl(I)/;bˤl[	bʕl (II);bʕl (I);/b-ʕ-l/	n./DN;n.;vb	Baʿlu;labourer;to make	
#---------------------------- KTU 1.15 II:4
142765	xxxxmn	xxxxmn				DULAT: NOT FOUND
142766	yrḫ	yrḫ/	yrḫ	n.	moon	
142767	zbl	zbl(I)/;zbl(III)/	zbl (I);zbl (III)	n.;n.	prince;one carried	
#---------------------------- KTU 1.15 II:5
142768	xxx	xxx				
142769	kṯr	kṯr(III)/	kṯr (III)	DN/element of DN	kṯr (III)	
142770	w	w	w	conj.	and	
142771	ḫss	ḫss				DULAT: NOT FOUND
#---------------------------- KTU 1.15 II:6
142772	xxxyn	xxxyn				DULAT: NOT FOUND
142773	rḥmy	rḥ(III)/+y(I);rḥ(III)/+y(II);rḥm/+y(I)	rḥ (III),-y (I);rḥ (III),-y (II);rḥm,-y (I)	n.,prep.;n.,postp. functor;n.,prep.	millstone,my;millstone,yes;womb,my	
142774	ršp	ršp/	ršp	DN	Rašap	
142775	zbl	zbl(I)/;zbl(III)/	zbl (I);zbl (III)	n.;n.	prince;one carried	
#---------------------------- KTU 1.15 II:7
142776	wˤdt	wˤdt				DULAT: NOT FOUND
142777	ilm	il(I)/	ỉl (I)	n.	god	
142778	ṯlṯh	ṯlṯ(IV)/	ṯlṯ (IV)	num.	triple	
#---------------------------- KTU 1.15 II:8
142779	apnk	apnk;ap(I)	ảpnk;ảp (I)	adv. functor of illation;adv./conj.	then;also	
142780	krt	krt/	krt	PN	krt	
142781	tˤ	tˤ				DULAT: NOT FOUND
