#---------------------------- KTU 1.161 1
155115	spr	spr(II)/;spr[;spr(I)/	spr (II);/s-p-r/;spr (I)	n.;vb;n.	tablet / register;to count;scribe
155116	dbḥ	dbḥ[;dbḥ/	/d-b-ḥ/;dbḥ	vb;n.	to sacrifice;sacrifice
155117	ẓlm	ẓl(I)/	ẓl (I)	n.	shade
#---------------------------- KTU 1.161 2
155118	qritm	qrʔ[	/q-r-ʔ/	vb	to call
155119	rpim	rpu/	rpủ	n.	healer
155120	arṣ	arṣ/	ảrṣ	n.	earth
#---------------------------- KTU 1.161 3
155121	qbitm	qbʔ[	/q-b-ʔ/	vb	to send (someone) to say
155122	qbṣ	qbṣ/	qbṣ	n.	clan
155123	ddn	dd(II)/+n(I);dd(II)/+n(II);dd(II)/+n(III)	dd (II),-n (I);dd (II),-n (II);dd (II),-n (III)	n.,morph.;n.,pers. pn./morph./vb;n.,pers. pn./morph.	cauldronful,Sun;cauldronful,me;cauldronful,our
#---------------------------- KTU 1.161 4
155124	qra	qrʔ[	/q-r-ʔ/	vb	to call
155125	ulkn	ul/+kn	ủl,-kn	n.,pers. pn./morph.	(military) force,your
155126	rpu	rpu/	rpủ	n.	healer
#---------------------------- KTU 1.161 5
155127	qra	qrʔ[	/q-r-ʔ/	vb	to call
155128	trmn	tr(I)/+n(I);tr(I)/+n(II);tr(I)/+n(III)	tr (I),-n (I);tr (I),-n (II);tr (I),-n (III)	n.,morph.;n.,pers. pn./morph./vb;n.,pers. pn./morph.	pole,Sun;pole,me;pole,our
155129	rpu	rpu/	rpủ	n.	healer
#---------------------------- KTU 1.161 6
155130	qra	qrʔ[	/q-r-ʔ/	vb	to call
155131	sdn	sd/+n(I);sd/+n(II);sd/+n(III)	sd,-n (I);sd,-n (II);sd,-n (III)	n.,morph.;n.,pers. pn./morph./vb;n.,pers. pn./morph.	council,Sun;council,me;council,our
155132	w	w	w	conj.	and
155133	rdn	yrd[+n(I);yrd[+n(II);yrd[+n(III)	/y-r-d/,-n (I);/y-r-d/,-n (II);/y-r-d/,-n (III)	vb,morph.;vb,pers. pn./morph./vb;vb,pers. pn./morph.	to go down,Sun;to go down,me;to go down,our
#---------------------------- KTU 1.161 7
155134	qra	qrʔ[	/q-r-ʔ/	vb	to call
155135	ṯr	ṯr(I)/	ṯr (I)	n.	bull
155136	ˤllmn	ˤllmy/	ʕllmy	adj. or n.	eternal
#---------------------------- KTU 1.161 8
155137	qru	qrʔ[	/q-r-ʔ/	vb	to call
155138	rpim	rpu/	rpủ	n.	healer
155139	qdmym	qdmy/	qdmy	adj.	ancient
#---------------------------- KTU 1.161 9
155140	qritm	qrʔ[	/q-r-ʔ/	vb	to call
155141	rpi	rpu/	rpủ	n.	healer
155142	arṣ	arṣ/	ảrṣ	n.	earth
#---------------------------- KTU 1.161 10
155143	qbitm	qbʔ[	/q-b-ʔ/	vb	to send (someone) to say
155144	qbṣ	qbṣ/	qbṣ	n.	clan
155145	ddn	dd(II)/+n(I);dd(II)/+n(II);dd(II)/+n(III)	dd (II),-n (I);dd (II),-n (II);dd (II),-n (III)	n.,morph.;n.,pers. pn./morph./vb;n.,pers. pn./morph.	cauldronful,Sun;cauldronful,me;cauldronful,our
#---------------------------- KTU 1.161 11
155146	qra	qrʔ[	/q-r-ʔ/	vb	to call
155147	ṯˤmṯtmr	?	?	?	?	DULAT: NOT FOUND
155148	mlk	mlk[;mlk(II)/	/m-l-k/;mlk (II)	vb;n.	to reign;kingdom (power and territory)
#---------------------------- KTU 1.161 12
155149	qra	qrʔ[	/q-r-ʔ/	vb	to call
155150	u	u	ủ	conj.	or
155151	nqmd	?	?	?	?	DULAT: NOT FOUND
155152	mlk	mlk[;mlk(II)/	/m-l-k/;mlk (II)	vb;n.	to reign;kingdom (power and territory)
#---------------------------- KTU 1.161 13
155153	ksi	ks/	ks	n.	seat
155154	nqmd	?	?	?	?	DULAT: NOT FOUND
155155	tbky	!t!bky[	/b-k-y/	vb	to weep
#---------------------------- KTU 1.161 14
155156	w	w	w	conj.	and
155157	ydmˤ	!y!dmˤ[	/d-m-ʕ/	vb	to shed tears
155158	hdm	hdm/	hdm	n.	footstool
155159	pˤnh	pˤn/	pʕn	n.	foot
#---------------------------- KTU 1.161 15
155160	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155161	pnh	pnm/	pnm	n.	face
155162	ybky	!y!bky[	/b-k-y/	vb	to weep
155163	ṯlḥn	ṯlḥn/	ṯlḥn	n.	table
155164	mlk	mlk[;mlk(II)/	/m-l-k/;mlk (II)	vb;n.	to reign;kingdom (power and territory)
#---------------------------- KTU 1.161 16
155165	w	w	w	conj.	and
155166	yblˤ	!y!blˤ[	/b-l-ʕ/	vb	to swallow
155167	udmˤth	dmˤt/	dmʕt	n.	tear
#---------------------------- KTU 1.161 17
155168	ˤdmt	ˤdmt/	ʕdmt	n.	desolation
155169	w	w	w	conj.	and
155170	ˤdmt	ˤdmt/	ʕdmt	n.	desolation
155171	ˤdmt	ˤdmt/	ʕdmt	n.	desolation
#---------------------------- KTU 1.161 18
155172	išḫn	!i!šḫn[	/š-ḫ-n/	vb	to have a fever
155173	špš	špš/	špš	n.	sun
155174	w	w	w	conj.	and
155175	išḫn	!i!šḫn[	/š-ḫ-n/	vb	to have a fever
#---------------------------- KTU 1.161 19
155176	nyr	nyr/	nyr	n.	luminary
155177	rbt	rbt/;rbt(I)/;rbt(II)/	rb(b)t;rbt (I);rbt (II)	num.;n.;n.	ten thousand;Lady;seine
155178	ˤln	ˤl(I)	ʕl (I)	prep.	upon
155179	špš	špš/	špš	n.	sun
155180	tṣḥ	!t!ṣḥ[	/ṣ-ḥ/	vb	to exclaim
#---------------------------- KTU 1.161 20
155181	xaṯr	?	?	?	?	DULAT: NOT FOUND
155182	bˤlk	bˤl(II)/	bʕl (II)	n./DN	Baʿlu
155183	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
155184	kisih	?	?	?	?	DULAT: NOT FOUND
155185	aṯr	aṯr(I);aṯr(III);ʔṯr[	ảṯr (I);ảṯr (III);/ʔ-ṯ-r/	adv. or prep.;interr. adv.;vb	then;where;to go
#---------------------------- KTU 1.161 21
155186	bˤlk	bˤl(II)/	bʕl (II)	n./DN	Baʿlu
155187	arṣ	arṣ/	ảrṣ	n.	earth
155188	rd	yrd[	/y-r-d/	vb	to go down
155189	arṣ	arṣ/	ảrṣ	n.	earth
#---------------------------- KTU 1.161 22
155190	rd	yrd[	/y-r-d/	vb	to go down
155191	w	w	w	conj.	and
155192	špl	špl[	/š-p-l/	vb	to bend down
155193	ˤpr	ˤpr(I)/	ʕpr (I)	n.	dust
155194	tḥt	tḥt(I)	tḥt (I)	prep.	under
#---------------------------- KTU 1.161 23
155195	sdn	sd/+n(I);sd/+n(II);sd/+n(III)	sd,-n (I);sd,-n (II);sd,-n (III)	n.,morph.;n.,pers. pn./morph./vb;n.,pers. pn./morph.	council,Sun;council,me;council,our
155196	w	w	w	conj.	and
155197	rdn	yrd[+n(I);yrd[+n(II);yrd[+n(III)	/y-r-d/,-n (I);/y-r-d/,-n (II);/y-r-d/,-n (III)	vb,morph.;vb,pers. pn./morph./vb;vb,pers. pn./morph.	to go down,Sun;to go down,me;to go down,our
155198	tḥt	tḥt(I)	tḥt (I)	prep.	under
155199	ṯr	ṯr(I)/	ṯr (I)	n.	bull
#---------------------------- KTU 1.161 24
