#---------------------------- KTU 1.84 1
150309	t	t[;t[;t[	/l-q-ḥ/;/p-r-ʕ/;/y-b-m/	vb;vb;vb	to get hold of, take, grasp; to receive, accept, take (away); to collect, hold; to choose, opt for something;to wash;to proclaim oneself a nubile widow	ambiguous DULAT candidates: 17 (showing top 3)
150310	ugrt	ugrt				DULAT: NOT FOUND
#---------------------------- KTU 1.84 2
150311	w	w	w	conj.	and	
150312	npy	npy/	npy	n.	purification	
150313	yman	yman				DULAT: NOT FOUND
150314	xxx	xxx				
#---------------------------- KTU 1.84 3
150315	w	w	w	conj.	and	
150316	npy	npy/	npy	n.	purification	
150317	ʿrmtwnpy	ˤrmtwnpy				DULAT: NOT FOUND
150318	annpdgl	annpdgl				DULAT: NOT FOUND
#---------------------------- KTU 1.84 4
150319	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150320	šn	šn[	/š-n-w/	vb	to change: a) reflex., to be disfigured, deformed; b) act., to transform	
150321	ypkn	ypkn/	yp	n.	dignity, honour	
150322	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150323	lp	lp				DULAT: NOT FOUND
150324	qṭy	qṭy(I)/	qṭy (I)	GN	il qadita	
150325	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150326	lp	lp				DULAT: NOT FOUND
150327	ddmy	ddmy/	ddmy	GN		
150328	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150329	lp	lp				DULAT: NOT FOUND
150330	ḫry	ḫry/	ḫry	GN	Hurrian	
#---------------------------- KTU 1.84 5
150331	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150332	lp	lp				DULAT: NOT FOUND
150333	ḫty	ḫty(I)/	ḫty (I)	GN	Hittite	
150334	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150335	lp	lp				DULAT: NOT FOUND
150336	alṯy	alṯy/	ảlṯy(y)	GN		
150337	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150338	lp	lp				DULAT: NOT FOUND
150339	ġbr	ġbr				DULAT: NOT FOUND
150340	ul	ul/	ủl	n.	(military) force	
150341	p	p(I);p(II);p(III)/	p (I);p (II);p (III)	conj. functor;adv.;n.	and;here;mouth, snout	ambiguous DULAT candidates: 4 (showing top 3)
150342	ḫbtkn	ḫbtkn(I)/	ḫbt (I)	n.	oppressor, pillager, destroyer	
#---------------------------- KTU 1.84 6
150343	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150344	lp	lp				DULAT: NOT FOUND
150345	mdllkn	mdllkn				DULAT: NOT FOUND
150346	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150347	lp	lp				DULAT: NOT FOUND
150348	qrzbl	qrzbl				DULAT: NOT FOUND
150349	u	u;u[	ủ;/ḫ-r-ʔ/	conj.;vb	or;to defecate	
150350	šn	šn[	/š-n-w/	vb	to change: a) reflex., to be disfigured, deformed; b) act., to transform	
