#---------------------------- KTU 1.85 1
150496	spr	spr[;spr(I)/;spr(II)/	/s-p-r/;spr (I);spr (II)	vb;n.;n.	to count, number;scribe;tablet / register, list, inventory; in accounting, record of trib- ute; of instructions	ambiguous DULAT candidates: 5 (showing top 3)
150497	nʿm	nˤm(I)/;nˤm(II)/	nʕm (I);nʕm (II)	adj.;n.	handsome;grace, elegance, comeliness	
150498	śśwm	śśwm/	s:śs/św	n.	horse	
#---------------------------- KTU 1.85 2
150499	k	k(I)/;k(I);k(II)	-k (I);k (I);k (II)	pers. pn., morph.;prep.;emph. functor	your(s);like, as;yes	ambiguous DULAT candidates: 10 (showing top 3)
150500	ygʿr	ygˤr[	/g-ʕ-r/	vb	to reproach, rebuke	
150501	śśw	śśw/	s:śs/św	n.	horse	
150502	št	št[;št(I)/;št(II)/	/š-t/;št (I);št (II)	vb;n.;n.	to place, set, set up, leave;base, foot;raíz	ambiguous DULAT candidates: 6 (showing top 3)
150503	ʿqrbn	ˤqrbn/	ʕqrbn	n.	Skorpionspflanze	
#---------------------------- KTU 1.85 3
150504	ydk	ydk[	d-k(-k)/	vb	to be pounded, ground	
150505	w	w	w	conj.	and	
150506	ymsś	ymsś[	/m-s-s(/ś)/	vb	to be liquefied, dissolved	
150507	hm	hm(II)	hm (II)	conj., interr. functor	if	
150508	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
150509	mskt	mskt/	mskt	n.	mixture, emulsion	
150510	dlḥt	dlḥt/	dlḥt	adj.	thick, cloudy	
#---------------------------- KTU 1.85 4
150511	hm	hm(II)	hm (II)	conj., interr. functor	if	
150512	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
150513	mndġ	mndġ/	mndġ	n.		
150514	w	w	w	conj.	and	
150515	yṣq	yṣq[	/y-ṣ-q/	vb	to pour (out), serve	
150516	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
150517	aph	aph				DULAT: NOT FOUND
#---------------------------- KTU 1.85 5
150518	k	k(I)/;k(I);k(II)	-k (I);k (I);k (II)	pers. pn., morph.;prep.;emph. functor	your(s);like, as;yes	ambiguous DULAT candidates: 10 (showing top 3)
150519	ḫr	ḫr(I)/;ḫr[	ḫr (I);/ḫ-r(-r)/	n.;vb	cave, fossa, tomb;to have spasms (of diarrhoea)	
150520	śśw	śśw/	s:śs/św	n.	horse	
150521	mġmġ	mġmġ/	mġmġ	n.		
150522	w	w	w	conj.	and	
150523	bṣql	bṣql/	bṣql	n.	sprout, shoot; branch	
150524	ʿrgz	ˤrgz(I)/	ʕrgz (I)	n.	juniper berries (?)	
#---------------------------- KTU 1.85 6
150525	ydk	ydk[	d-k(-k)/	vb	to be pounded, ground	
150526	aḥdh	aḥdh;aḥdh/	yḥdh;ảḥd	adv.;adj. num., adv. num.	together, at the same time;one, oneself	
150527	w	w	w	conj.	and	
150528	yṣq	yṣq[	/y-ṣ-q/	vb	to pour (out), serve	
150529	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
150530	aph	aph				DULAT: NOT FOUND
#---------------------------- KTU 1.85 7
150531	w	w	w	conj.	and	
150532	k	k(I)/;k(I);k(II)	-k (I);k (I);k (II)	pers. pn., morph.;prep.;emph. functor	your(s);like, as;yes	ambiguous DULAT candidates: 10 (showing top 3)
150533	ḫr	ḫr(I)/;ḫr[	ḫr (I);/ḫ-r(-r)/	n.;vb	cave, fossa, tomb;to have spasms (of diarrhoea)	
150534	śśw	śśw/	s:śs/św	n.	horse	
