#---------------------------- KTU 1.96 1
151565	ˤnn	ˤnn/;ˤn(I)/	ʕnn;ʕn (I)	n.;n.	manservant;eye	
151566	hlkt	hlk[	/h-l-k/	vb	to go	
151567	w	w	w	conj.	and	
151568	šnwt	šnw[	/š-n-w/	vb	to change: a) reflex.	
#---------------------------- KTU 1.96 2
151569	tp	tp(I)/;tp(II)/;npy[	tp (I);tp (II);/n-p-y/	n.;n.;vb	drum;aspect;to be driven away	
151570	aḫh	aḫ(I)/	ảḫ (I)	n.	brother (by blood)	
151571	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes	
151572	nˤm	nˤm(I)/;nˤm(II)/	nʕm (I);nʕm (II)	adj.;n.	handsome;grace	
151573	aḫh	aḫ(I)/	ảḫ (I)	n.	brother (by blood)	
151574	xxx	xxx				
#---------------------------- KTU 1.96 3
151575	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes	
151576	ysmsm	ysmsm/	ysmsm	adj.	handsome	
151577	tspi	!t!spʔ[	/s-p-ʔ/	vb	to devour	
151578	širh	šir(I)/	šỉr (I)	n.	flesh	
#---------------------------- KTU 1.96 4
151579	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
151580	bl	bl(I);bl(II);bl(III)/	bl (I);bl (II);bl (III)	adv. or emph. functor;prep.;n.	no;without;blended beer	
151581	ḥrb	ḥrb/	ḥrb	n.	knife	
151582	tšt	!t!št[;šty[	/š-t/;/š-t-y/	vb;vb	to place;to drink	
151583	dmhx	dmhx				DULAT: NOT FOUND
#---------------------------- KTU 1.96 5
151584	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
151585	bl	bl(I);bl(II);bl(III)/	bl (I);bl (II);bl (III)	adv. or emph. functor;prep.;n.	no;without;blended beer	
151586	ks	ks/;ks(I)/	ks;ks (I)	n.;n.	emmer-corn;cup	
151587	tpnn	!t!pnn[	/p-n-n/	vb	to distort	
151588	ˤn	ˤn(I)/;ˤn[;ˤn(II)/	ʕn (I);/ʕ-n/;ʕn (II)	n.;vb;n.	eye;to see;furrow	
#---------------------------- KTU 1.96 6
151589	bty	bt(II)/	bt (II)	n.	house	
151590	ˤn	ˤn(I)/;ˤn[;ˤn(II)/	ʕn (I);/ʕ-n/;ʕn (II)	n.;vb;n.	eye;to see;furrow	
151591	bṯt	bṯt(I)/;bṯt(II)/	bṯt (I);bṯt (II)	n.;n.	shame;evildoing woman	
151592	tpnn	!t!pnn[	/p-n-n/	vb	to distort	
#---------------------------- KTU 1.96 7
151593	ˤn	ˤn(I)/;ˤn[;ˤn(II)/	ʕn (I);/ʕ-n/;ʕn (II)	n.;vb;n.	eye;to see;furrow	
151594	mḫr	mḫr(II)/	mḫr (II)	n.	tax collector	
151595	ˤn	ˤn(I)/;ˤn[;ˤn(II)/	ʕn (I);/ʕ-n/;ʕn (II)	n.;vb;n.	eye;to see;furrow	
151596	pḫr	pḫr(I)/;pḫr(II)/	pḫr (I);pḫr (II)	n.;n.	assembly;potter	
#---------------------------- KTU 1.96 8
151597	ˤn	ˤn(I)/;ˤn[;ˤn(II)/	ʕn (I);/ʕ-n/;ʕn (II)	n.;vb;n.	eye;to see;furrow	
151598	ṯġr	ṯġr(II)/;ṯġr(I)/	ṯġr (II);ṯġr (I)	n.;n.	gatekeeper;gate	
151599	ˤn	ˤn(I)/;ˤn[;ˤn(II)/	ʕn (I);/ʕ-n/;ʕn (II)	n.;vb;n.	eye;to see;furrow	
